Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2015,"12        ",Female,16,Right-Handed,157,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MI,2015,"12        ",Female,16,Right-Handed,152,21.5,153,1,Bus,45,0.401,43,Walking/Hiking,1000,1000,845,658,888,684,21.5,"Same length",70,70,"Same length",December,Winter,Yes,No,Desserts,Tea,Art,7.5,11,3,"Yes - broadband connection","Text messaging",200,200,30,0.5,18,12,1,0,7,6.5,10,7,0,6,"A lot","Graduate degree",Other,Invisibility,Happy,Relative,"Arts, culture, sports"
USA,CA,2015,"12        ",Female,16,Left-Handed,165,24.5,165,2,Car,35,.447,39,Dancing,807,754,829,757,904,920,25,"Left foot",71,69,"Index finger",October,Winter,No,No,"Rice/Noodle dishes",Water,Art,,,,,,,,4,2,10,3,11,2,8,1,8,1,0,1,"A lot","Graduate degree",Jazz,Telepathy,Rich,"Musician or singer","International aid"
USA,CO,2015,"12        ",Female,17,Right-Handed,160,23,160,1,Car,40,,,Baseball/Softball,1000,999,999,999,998,998,23,"Same length",70,70,"Same length",December,Fall,Yes,No,Meat,Water,Science,7,9,3,"Yes - broadband connection","Text messaging",5,5,18,4,1,18,7,0,100,100,7,6,20,5,"Very little","Undergraduate degree",Country,"Freeze time",Happy,"Sports person",Health
USA,MT,2015,"12        ",Male,17,Right-Handed,178,27,180,1.5,Car,5,0.286,35,"Martial Arts",890,909,980,897,876,767,27,"Same length",100,110,"Ring finger",March,Winter,No,No,Meat,Milk,Science,6,8,4,"Yes - other","In person",5,5,0,0,3,10,1,5,6,1,1,5,23,0,"Very little","Graduate degree","Punk rock","Freeze time",Happy,Relative,"Arts, culture, sports"
USA,AZ,2015,"12        ",Male,17,Right-Handed,178,"  27",181,2,Car,10,.721,40,"Hockey (Ice)",500,700,789,954,1000,1000,27.5,"Left foot",86,72,"Index finger",April,Winter,Yes,No,Meat,Water,Art,6.5,10,6,"Yes - broadband connection","Text messaging",300,800,20,3,10,40,10,5,8,60,30,15,0,2,Some,"Graduate degree","Rap/Hip hop","Super strength",Healthy,"Business person","International aid"
USA,TX,2015,"12        ",Female,16,Right-Handed,152.4,6,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2015,"12        ",Female,17,Right-Handed,162.5,26,166,2,Bus,30,.785,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NH,2015,"12        ",Female,17,Left-Handed,162,23,164,2,Car,15,.866,54,Swimming,600,300,300,700,700,900,22,"Right foot",77,75,"Index finger",August,Fall,Yes,No,Breads/Sandwiches,Water,Languages,6.5,9,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",150,150,14,5,12,7,8,0,10,10,4,4,0,2,"A lot","Graduate degree","Rap/Hip hop","Super strength",Happy,Relative,"Wildlife, animals"
USA,FL,2015,"12        ",Female,17,Right-Handed,176.4,24.5,177.2,1,Car,30,.485,31,Other,999,900,950,500,200,250,25,"Left foot",95,100,"Ring finger",May,Summer,No,No,Pizza/Pasta,Water,English,8,6,4,"Yes - other","Cell phone",50,50,10,3,15,1,20,1,8,10,20,5,0,2,Some,"Undergraduate degree",Pop,Fly,Rich,Relative,"Wildlife, animals"
USA,WI,2015,"12        ",Female,17,Right-Handed,170,24,170,1,Car,7,.319,42,Athletics,900,500,800,900,200,800,24,"Same length",8,8,"Same length",September,Summer,Yes,No,Pizza/Pasta,Water,Art,8,10,3,"Yes - broadband connection","In person",200,250,10,3,14,1,13,0,5,5,9,0,35,2,Some,"Graduate degree",Country,Fly,Happy,Friend,Religious
USA,KS,2015,"12        ",Male,17,Right-Handed,172.7,22,175,5,Car,11,0.269,43,Basketball,300,400,600,800,1000,1000,23,"Left foot",7.5,7.5,"Ring finger",July,Summer,No,No,Meat,Water,"Mathematics and statistics",7,5,4,"Yes - broadband connection","Text messaging",7,9,7,2,14,3,5,4,3,20,20,15,0,0,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,Actor,Health
